layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Sigmoid,1,10.0,16,0.11583924349881797
1,4,Sigmoid,1,10.0,32,0.061465721040189124
1,4,Sigmoid,1,10.0,64,0.07565011820330969
1,4,Sigmoid,1,10.0,128,0.19858156028368795
1,4,Sigmoid,1,10.0,256,0.07801418439716312
1,4,Sigmoid,1,10.0,512,0.14893617021276595
1,4,Sigmoid,1,1.0,16,0.18912529550827423
1,4,Sigmoid,1,1.0,32,0.15130023640661938
1,4,Sigmoid,1,1.0,64,0.1702127659574468
1,4,Sigmoid,1,1.0,128,0.20094562647754138
1,4,Sigmoid,1,1.0,256,0.23167848699763594
1,4,Sigmoid,1,1.0,512,0.0425531914893617
1,4,Sigmoid,1,0.1,16,0.2765957446808511
1,4,Sigmoid,1,0.1,32,0.3475177304964539
1,4,Sigmoid,1,0.1,64,0.3735224586288416
1,4,Sigmoid,1,0.1,128,0.22458628841607564
1,4,Sigmoid,1,0.1,256,0.3947990543735225
1,4,Sigmoid,1,0.1,512,0.3073286052009456
1,4,Sigmoid,1,0.01,16,0.17494089834515367
1,4,Sigmoid,1,0.01,32,0.21513002364066194
1,4,Sigmoid,1,0.01,64,0.17257683215130024
1,4,Sigmoid,1,0.01,128,0.14657210401891252
1,4,Sigmoid,1,0.01,256,0.14893617021276595
1,4,Sigmoid,1,0.01,512,0.12529550827423167
1,4,Sigmoid,1,0.001,16,0.1111111111111111
1,4,Sigmoid,1,0.001,32,0.19858156028368795
1,4,Sigmoid,1,0.001,64,0.14420803782505912
1,4,Sigmoid,1,0.001,128,0.1276595744680851
1,4,Sigmoid,1,0.001,256,0.1111111111111111
1,4,Sigmoid,1,0.001,512,0.14184397163120568
1,4,Sigmoid,1,0.0001,16,0.18912529550827423
1,4,Sigmoid,1,0.0001,32,0.09456264775413711
1,4,Sigmoid,1,0.0001,64,0.2458628841607565
1,4,Sigmoid,1,0.0001,128,0.09929078014184398
1,4,Sigmoid,1,0.0001,256,0.07801418439716312
1,4,Sigmoid,1,0.0001,512,0.12293144208037825
1,4,Sigmoid,10,10.0,16,0.31678486997635935
1,4,Sigmoid,10,10.0,32,0.37115839243498816
1,4,Sigmoid,10,10.0,64,0.4397163120567376
1,4,Sigmoid,10,10.0,128,0.3640661938534279
1,4,Sigmoid,10,10.0,256,0.5035460992907801
1,4,Sigmoid,10,10.0,512,0.33569739952718675
1,4,Sigmoid,10,1.0,16,0.5957446808510638
1,4,Sigmoid,10,1.0,32,0.46099290780141844
1,4,Sigmoid,10,1.0,64,0.475177304964539
1,4,Sigmoid,10,1.0,128,0.491725768321513
1,4,Sigmoid,10,1.0,256,0.5460992907801419
1,4,Sigmoid,10,1.0,512,0.4940898345153664
1,4,Sigmoid,10,0.1,16,0.6359338061465721
1,4,Sigmoid,10,0.1,32,0.6359338061465721
1,4,Sigmoid,10,0.1,64,0.624113475177305
1,4,Sigmoid,10,0.1,128,0.6264775413711584
1,4,Sigmoid,10,0.1,256,0.5130023640661938
1,4,Sigmoid,10,0.1,512,0.6548463356973995
1,4,Sigmoid,10,0.01,16,0.30969267139479906
1,4,Sigmoid,10,0.01,32,0.35224586288416077
1,4,Sigmoid,10,0.01,64,0.3380614657210402
1,4,Sigmoid,10,0.01,128,0.34988179669030733
1,4,Sigmoid,10,0.01,256,0.3309692671394799
1,4,Sigmoid,10,0.01,512,0.3640661938534279
1,4,Sigmoid,10,0.001,16,0.14893617021276595
1,4,Sigmoid,10,0.001,32,0.17257683215130024
1,4,Sigmoid,10,0.001,64,0.09929078014184398
1,4,Sigmoid,10,0.001,128,0.14184397163120568
1,4,Sigmoid,10,0.001,256,0.16784869976359337
1,4,Sigmoid,10,0.001,512,0.12293144208037825
1,4,Sigmoid,10,0.0001,16,0.1607565011820331
1,4,Sigmoid,10,0.0001,32,0.11347517730496454
1,4,Sigmoid,10,0.0001,64,0.1867612293144208
1,4,Sigmoid,10,0.0001,128,0.10638297872340426
1,4,Sigmoid,10,0.0001,256,0.09929078014184398
1,4,Sigmoid,10,0.0001,512,0.1536643026004728
1,4,Sigmoid,25,10.0,16,0.5437352245862884
1,4,Sigmoid,25,10.0,32,0.6028368794326241
1,4,Sigmoid,25,10.0,64,0.6382978723404256
1,4,Sigmoid,25,10.0,128,0.6713947990543735
1,4,Sigmoid,25,10.0,256,0.6312056737588653
1,4,Sigmoid,25,10.0,512,0.7588652482269503
1,4,Sigmoid,25,1.0,16,0.8108747044917257
1,4,Sigmoid,25,1.0,32,0.7446808510638298
1,4,Sigmoid,25,1.0,64,0.7163120567375887
1,4,Sigmoid,25,1.0,128,0.7186761229314421
1,4,Sigmoid,25,1.0,256,0.6997635933806147
1,4,Sigmoid,25,1.0,512,0.7044917257683215
1,4,Sigmoid,25,0.1,16,0.8274231678486997
1,4,Sigmoid,25,0.1,32,0.8439716312056738
1,4,Sigmoid,25,0.1,64,0.8676122931442081
1,4,Sigmoid,25,0.1,128,0.8581560283687943
1,4,Sigmoid,25,0.1,256,0.8297872340425532
1,4,Sigmoid,25,0.1,512,0.8250591016548463
1,4,Sigmoid,25,0.01,16,0.5224586288416075
1,4,Sigmoid,25,0.01,32,0.41843971631205673
1,4,Sigmoid,25,0.01,64,0.4302600472813239
1,4,Sigmoid,25,0.01,128,0.5035460992907801
1,4,Sigmoid,25,0.01,256,0.39952718676122934
1,4,Sigmoid,25,0.01,512,0.5390070921985816
1,4,Sigmoid,25,0.001,16,0.2033096926713948
1,4,Sigmoid,25,0.001,32,0.11583924349881797
1,4,Sigmoid,25,0.001,64,0.28132387706855794
1,4,Sigmoid,25,0.001,128,0.24349881796690306
1,4,Sigmoid,25,0.001,256,0.15602836879432624
1,4,Sigmoid,25,0.001,512,0.14657210401891252
1,4,Sigmoid,25,0.0001,16,0.22695035460992907
1,4,Sigmoid,25,0.0001,32,0.061465721040189124
1,4,Sigmoid,25,0.0001,64,0.0591016548463357
