layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,Sigmoid,1,10.0,16,47.55607972584718,3190.286753762082,-862.8331909179688,-692.6013287641197
1,4,Sigmoid,1,10.0,32,851.805654325102,1119428.0811279526,-303106.28125,-14096.760905418367
1,4,Sigmoid,1,10.0,64,1529.8843707373237,3662349.2800376397,-991652.4375,-25398.07284562206
1,4,Sigmoid,1,10.0,128,41.20074710440129,2369.5702785205917,-640.6080322265625,-586.6791184066881
1,4,Sigmoid,1,10.0,256,908.4219056562329,1217037.5145263502,-329535.96875,-15040.365094270546
1,4,Sigmoid,1,10.0,512,872.4037766242421,1173565.698042604,-317765.09375,-14440.062943737368
1,4,Sigmoid,1,1.0,16,5.472759198494273,47.342111680625486,-11.818811416625977,8.78734669176211
1,4,Sigmoid,1,1.0,32,6.172152305607536,53.95516303996115,-13.60942554473877,-2.8692050934589375
1,4,Sigmoid,1,1.0,64,3.362362339986977,15.413456042285384,-3.1734976768493652,43.960627666883724
1,4,Sigmoid,1,1.0,128,4.199703200418616,31.0620265497789,-7.410656929016113,30.004946659689725
1,4,Sigmoid,1,1.0,256,11.516773232190603,216.726084465157,-57.68286895751953,-91.94622053651005
1,4,Sigmoid,1,1.0,512,3.963657839642067,24.03216434493689,-5.507183074951172,33.93903600596555
1,4,Sigmoid,1,0.1,16,2.3883697424374573,8.648383536790126,-1.3417208194732666,60.19383762604238
1,4,Sigmoid,1,0.1,32,3.156974395538898,13.375388425008222,-2.621650457382202,47.3837600743517
1,4,Sigmoid,1,0.1,64,2.772786063857676,11.054686777729078,-1.9932749271392822,53.78689893570541
1,4,Sigmoid,1,0.1,128,2.811942382590145,11.16387066367682,-2.022838592529297,53.13429362349758
1,4,Sigmoid,1,0.1,256,2.683890059889772,10.439126261994572,-1.826599359512329,55.26849900183712
1,4,Sigmoid,1,0.1,512,3.10483566729735,12.899774582541408,-2.492868661880493,48.2527388783775
1,4,Sigmoid,1,0.01,16,2.934795037986398,12.151863316071399,-2.2903571128845215,51.08674936689337
1,4,Sigmoid,1,0.01,32,3.1207434531503817,13.331391091270921,-2.6097373962402344,47.9876091141603
1,4,Sigmoid,1,0.01,64,3.1865115695529513,13.55546065164544,-2.6704087257385254,46.89147384078415
1,4,Sigmoid,1,0.01,128,3.3172945702893233,14.782164886409495,-3.002562999725342,44.71175716184461
1,4,Sigmoid,1,0.01,256,2.9371261217996882,12.285700865703483,-2.326596260070801,51.047897970005195
1,4,Sigmoid,1,0.01,512,3.0761743816712226,13.093156922177299,-2.5452308654785156,48.73042697214629
1,4,Sigmoid,1,0.001,16,3.0874362313155586,13.321361096436645,-2.6070215702056885,48.54272947807402
1,4,Sigmoid,1,0.001,32,3.128193729576912,13.516389220899022,-2.6598293781280518,47.86343784038479
1,4,Sigmoid,1,0.001,64,2.790938669872904,11.196790054605689,-2.031752109527588,53.48435550211828
1,4,Sigmoid,1,0.001,128,2.5997100843394056,9.932235816882855,-1.6893491744995117,56.67149859434324
1,4,Sigmoid,1,0.001,256,2.7118472602420947,10.543914266379819,-1.8549730777740479,54.802545662631765
1,4,Sigmoid,1,0.001,512,2.5666240292731186,9.593142538707072,-1.5975327491760254,57.222932845448014
